projeto_id;team_id;team_str;ae_bn_mean;rank_bn;AT_cont;AC_cont;dist_AT;dist_AC;dist_AE;pc_score;pc_label;dominio_tier;ecossistema_tier;linguagens_tier;dominio_score;ecossistema_score;linguagens_score;t_cpt_build_s;t_dim_s;t_pc_graph_s;t_pc_transform_s;t_infer_at_s;t_infer_ae_s;t_infer_total_s;t_team_total_s;t_project_total_s;t_project_total_plus_cpt_s;dominio_m_total;dominio_m_covered;dominio_m_covered_list;dominio_s_total;dominio_s_covered;dominio_s_covered_list;dominio_c_total;dominio_c_covered;dominio_c_covered_list;ecossistema_m_total;ecossistema_m_covered;ecossistema_m_covered_list;ecossistema_s_total;ecossistema_s_covered;ecossistema_s_covered_list;ecossistema_c_total;ecossistema_c_covered;ecossistema_c_covered_list;linguagens_m_total;linguagens_m_covered;linguagens_m_covered_list;linguagens_s_total;linguagens_s_covered;linguagens_s_covered_list;linguagens_c_total;linguagens_c_covered;linguagens_c_covered_list
P5;P5-TEAM0;"[Dev174;Dev265;Dev524;Dev169]";0.129826;5;0.150789;0.104680;0.746058,0.253940,0.000002,0.000000,0.000000;0.976598,0.023402,0.000000,0.000000,0.000000;0.851017,0.148837,0.000146,0.000000,0.000000;0.100000;VL;L;VL;VL;0.250000;0.047619;0.095238;4.218184;0.043288;0.000033;0.000063;0.021910;0.014984;0.036895;0.097717;0.412740;4.630923;2;1;web;1;0;;1;1;desktop;3;1;react;1;1;.net;1;0;;3;1;javascript;2;2;c#,java;2;0;
P5;P5-TEAM1;"[Dev438;Dev558;Dev461;Dev297]";0.374784;1;0.449858;0.300174;0.000001,0.251144,0.748419,0.000436,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.008566,0.609380,0.381623,0.000431,0.000000;0.300000;L;H;L;L;0.642857;0.253968;0.238095;4.218184;0.010442;0.000030;0.000059;0.015382;0.014480;0.029863;0.054863;0.412740;4.630923;2;2;cloud,web;1;1;mobile;1;0;;3;2;aws lambda,react;1;0;;1;1;android;3;2;javascript,python;2;0;;2;1;kotlin
P5;P5-TEAM2;"[Dev324;Dev439;Dev370;Dev250]";0.228026;2;0.350739;0.104680;0.000421,0.745465,0.254113,0.000002,0.000000;0.976598,0.023402,0.000000,0.000000,0.000000;0.368936,0.621999,0.009065,0.000000,0.000000;0.100000;VL;M;L;L;0.428572;0.253968;0.253968;4.218184;0.017761;0.000034;0.000067;0.019507;0.016052;0.035559;0.073236;0.412740;4.630923;2;2;cloud,web;1;1;mobile;1;0;;3;2;aws lambda,react;1;0;;1;1;android;3;2;javascript,python;2;0;;2;2;kotlin,swift
P5;P5-TEAM3;"[Dev331;Dev36;Dev181;Dev494]";0.164440;4;0.150789;0.300174;0.746058,0.253940,0.000002,0.000000,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.683964,0.309870,0.006165,0.000000,0.000000;0.200000;L;L;VL;VL;0.214286;0.111111;0.111111;4.218184;0.021828;0.000034;0.000067;0.035574;0.027893;0.063467;0.115643;0.412740;4.630923;2;1;cloud;1;1;mobile;1;0;;3;1;aws lambda;1;0;;1;1;android;3;1;python;2;0;;2;2;kotlin,swift
P5;P5-TEAM4;"[Dev479;Dev389;Dev357;Dev316]";0.197723;3;0.289675;0.104680;0.059028,0.933567,0.007405,0.000000,0.000000;0.976598,0.023402,0.000000,0.000000,0.000000;0.512171,0.487041,0.000788,0.000000,0.000000;0.100000;VL;L;VL;L;0.214286;0.000000;0.238095;4.218184;0.012825;0.000035;0.000063;0.017659;0.015644;0.033303;0.068374;0.412740;4.630923;2;1;web;1;1;mobile;1;0;;3;0;;1;0;;1;1;android;3;2;javascript,typescript;2;0;;2;1;kotlin
P6;P6-TEAM0;"[Dev65;Dev71;Dev63;Dev261]";0.253145;2;0.249664;0.300174;0.252112,0.747457,0.000431,0.000000,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.252634,0.729005,0.018361,0.000000,0.000000;0.200000;L;M;VL;VL;0.428572;0.000000;0.000000;4.218184;0.017213;0.000062;0.000072;0.018725;0.015880;0.034605;0.069691;0.389869;4.608053;2;2;embedded,hardware;1;1;iot;1;1;cloud;2;2;desenvolvimento de placa,pcb;1;1;eletrônica (circuitos lógicos e analógicos);3;3;analisador lógico),instrumentação (osciloscópio,prototipação;1;1;c;1;1;c++;1;1;python
P6;P6-TEAM1;"[Dev508;Dev193;Dev36;Dev335]";0.276024;1;0.249664;0.499980;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,0.022801,0.954500,0.022699,0.000000;0.190867,0.738156,0.070966,0.000010,0.000000;0.500000;M;M;VL;VL;0.428572;0.000000;0.000000;4.218184;0.023212;0.000046;0.000075;0.015146;0.015865;0.031010;0.066864;0.389869;4.608053;2;2;embedded,hardware;1;1;iot;1;1;cloud;2;2;desenvolvimento de placa,pcb;1;1;eletrônica (circuitos lógicos e analógicos);3;3;analisador lógico),instrumentação (osciloscópio,prototipação;1;1;c;1;1;c++;1;1;python
P6;P6-TEAM2;"[Dev242;Dev168;Dev446;Dev93]";0.253145;3;0.249664;0.300174;0.252112,0.747457,0.000431,0.000000,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.252634,0.729005,0.018361,0.000000,0.000000;0.200000;L;M;VL;VL;0.428572;0.000000;0.000000;4.218184;0.034915;0.000043;0.000066;0.016831;0.026618;0.043449;0.093353;0.389869;4.608053;2;2;embedded,hardware;1;1;iot;1;1;cloud;2;2;desenvolvimento de placa,pcb;1;1;eletrônica (circuitos lógicos e analógicos);3;3;analisador lógico),instrumentação (osciloscópio,prototipação;1;1;c;1;1;c++;1;1;python
P6;P6-TEAM3;"[Dev568;Dev463;Dev7;Dev498]";0.154928;4;0.104680;0.499980;0.976598,0.023402,0.000000,0.000000,0.000000;0.000000,0.022801,0.954500,0.022699,0.000000;0.727571,0.270218,0.002211,0.000000,0.000000;0.500000;M;VL;VL;VL;0.000000;0.000000;0.000000;4.218184;0.034749;0.000027;0.000054;0.014655;0.012591;0.027246;0.076503;0.389869;4.608053;2;0;;1;0;;1;0;;2;0;;1;0;;3;0;;1;0;;1;0;;1;0;
P6;P6-TEAM4;"[Dev67;Dev94;Dev291;Dev450]";0.123059;5;0.104680;0.300174;0.976598,0.023402,0.000000,0.000000,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.885273,0.114159,0.000568,0.000000,0.000000;0.200000;L;VL;VL;VL;0.000000;0.000000;0.000000;4.218184;0.023845;0.000055;0.000069;0.015662;0.008830;0.024492;0.078257;0.389869;4.608053;2;0;;1;0;;1;0;;2;0;;1;0;;3;0;;1;0;;1;0;;1;0;
